# x	Norm
0.978	0.448516
0.979	0.450844
0.98	0.453174
0.981	0.455505
0.982	0.457838
0.983	0.460172
0.984	0.462508
0.985	0.464845
0.986	0.467183
0.987	0.469522
0.988	0.471863
0.989	0.474204
0.99	0.476546
0.991	0.478889
0.992	0.481233
0.993	0.483578
0.994	0.485923
0.995	0.488268
0.996	0.490614
0.997	0.49296
0.998	0.495307
0.999	0.497653
1	0.5
1.001	0.502347
1.002	0.504693
1.003	0.50704
1.004	0.509386
1.005	0.511732
1.006	0.514077
1.007	0.516422
1.008	0.518767
1.009	0.521111
1.01	0.523454
1.011	0.525796
1.012	0.528137
1.013	0.530478
1.014	0.532817
1.015	0.535155
1.016	0.537492
1.017	0.539828
1.018	0.542162
1.019	0.544495
1.02	0.546826
1.021	0.549156
1.022	0.551484
1.023	0.55381
1.024	0.556135
1.025	0.558457
1.026	0.560778
1.027	0.563096
1.028	0.565412
1.029	0.567726
1.03	0.570038
1.031	0.572347
1.032	0.574654
1.033	0.576958
1.034	0.57926
1.035	0.581559
1.036	0.583855
1.037	0.586148
1.038	0.588438
1.039	0.590726
1.04	0.59301
1.041	0.595291
1.042	0.597569
1.043	0.599843
1.044	0.602114
1.045	0.604382
1.046	0.606646
1.047	0.608907
1.048	0.611164
1.049	0.613417
1.05	0.615666
1.051	0.617911
1.052	0.620153
1.053	0.62239
1.054	0.624624
1.055	0.626853
1.056	0.629078
1.057	0.631298
1.058	0.633515
1.059	0.635726
1.06	0.637934
1.061	0.640136
1.062	0.642335
1.063	0.644528
1.064	0.646716
1.065	0.6489
1.066	0.651079
1.067	0.653253
1.068	0.655422
1.069	0.657585
1.07	0.659744
1.071	0.661897
1.072	0.664045
1.073	0.666188
1.074	0.668326
1.075	0.670457
1.076	0.672584
1.077	0.674704
1.078	0.67682
1.079	0.678929
1.08	0.681033
1.081	0.68313
1.082	0.685222
1.083	0.687308
1.084	0.689388
1.085	0.691462
1.086	0.69353
1.087	0.695592
1.088	0.697648
1.089	0.699697
1.09	0.70174
1.091	0.703777
1.092	0.705807
1.093	0.707831
1.094	0.709848
1.095	0.711859
1.096	0.713863
1.097	0.715861
1.098	0.717851
1.099	0.719836
1.1	0.721813
1.101	0.723783
1.102	0.725747
1.103	0.727704
1.104	0.729653
1.105	0.731596
1.106	0.733532
1.107	0.73546
1.108	0.737382
1.109	0.739296
1.11	0.741203
1.111	0.743103
1.112	0.744995
1.113	0.746881
1.114	0.748759
1.115	0.750629
1.116	0.752492
1.117	0.754348
1.118	0.756196
1.119	0.758036
1.12	0.759869
1.121	0.761695
1.122	0.763513
1.123	0.765323
1.124	0.767125
1.125	0.76892
1.126	0.770707
1.127	0.772486
1.128	0.774257
1.129	0.776021
1.13	0.777777
1.131	0.779524
1.132	0.781264
1.133	0.782996
1.134	0.78472
1.135	0.786437
1.136	0.788145
1.137	0.789845
1.138	0.791537
1.139	0.793221
1.14	0.794897
1.141	0.796564
1.142	0.798224
1.143	0.799875
1.144	0.801519
1.145	0.803154
1.146	0.804781
1.147	0.8064
1.148	0.80801
1.149	0.809613
1.15	0.811207
1.151	0.812793
1.152	0.814371
1.153	0.81594
1.154	0.817501
1.155	0.819054
1.156	0.820598
1.157	0.822134
1.158	0.823662
1.159	0.825182
1.16	0.826693
1.161	0.828196
1.162	0.82969
1.163	0.831176
1.164	0.832654
1.165	0.834123
1.166	0.835584
1.167	0.837037
1.168	0.838481
1.169	0.839917
1.17	0.841345
1.171	0.842764
1.172	0.844175
1.173	0.845577
1.174	0.846971
1.175	0.848357
1.176	0.849734
1.177	0.851103
1.178	0.852464
1.179	0.853816
1.18	0.85516
1.181	0.856495
1.182	0.857823
1.183	0.859142
1.184	0.860452
1.185	0.861754
1.186	0.863048
1.187	0.864334
1.188	0.865611
1.189	0.86688
1.19	0.868141
1.191	0.869394
1.192	0.870638
1.193	0.871874
1.194	0.873102
1.195	0.874321
1.196	0.875533
1.197	0.876736
1.198	0.877931
1.199	0.879118
1.2	0.880297
1.201	0.881467
1.202	0.88263
1.203	0.883784
1.204	0.88493
1.205	0.886069
1.206	0.887199
1.207	0.888321
1.208	0.889435
