# x	Phi
118.2	0.203726
118.4	0.20416
118.6	0.204595
118.8	0.205031
119	0.205468
119.2	0.205905
119.4	0.206343
119.6	0.206781
119.8	0.20722
120	0.20766
120.2	0.208101
120.4	0.208542
120.6	0.208984
120.8	0.209427
121	0.20987
121.2	0.210314
121.4	0.210759
121.6	0.211204
121.8	0.21165
122	0.212097
122.2	0.212544
122.4	0.212993
122.6	0.213441
122.8	0.213891
123	0.214341
123.2	0.214792
123.4	0.215244
123.6	0.215696
123.8	0.216149
124	0.216603
124.2	0.217057
124.4	0.217512
124.6	0.217968
124.8	0.218424
125	0.218881
125.2	0.219339
125.4	0.219797
125.6	0.220257
125.8	0.220716
126	0.221177
126.2	0.221638
126.4	0.2221
126.6	0.222563
126.8	0.223026
127	0.22349
127.2	0.223955
127.4	0.22442
127.6	0.224886
127.8	0.225353
128	0.22582
128.2	0.226288
128.4	0.226757
128.6	0.227227
128.8	0.227697
129	0.228168
129.2	0.228639
129.4	0.229111
129.6	0.229584
129.8	0.230058
130	0.230532
130.2	0.231007
130.4	0.231483
130.6	0.231959
130.8	0.232436
131	0.232914
131.2	0.233392
131.4	0.233871
131.6	0.234351
131.8	0.234831
132	0.235313
132.2	0.235794
132.4	0.236277
132.6	0.23676
132.8	0.237244
133	0.237728
133.2	0.238213
133.4	0.238699
133.6	0.239186
133.8	0.239673
134	0.240161
134.2	0.24065
134.4	0.241139
134.6	0.241629
134.8	0.242119
135	0.242611
135.2	0.243103
135.4	0.243595
135.6	0.244089
135.8	0.244583
136	0.245077
136.2	0.245573
136.4	0.246069
136.6	0.246566
136.8	0.247063
137	0.247561
137.2	0.24806
137.4	0.248559
137.6	0.249059
137.8	0.24956
138	0.250061
138.2	0.250563
138.4	0.251066
138.6	0.25157
138.8	0.252074
139	0.252578
139.2	0.253084
139.4	0.25359
139.6	0.254097
139.8	0.254604
140	0.255112
140.2	0.255621
140.4	0.256131
140.6	0.256641
140.8	0.257151
141	0.257663
141.2	0.258175
141.4	0.258688
141.6	0.259201
141.8	0.259715
142	0.26023
142.2	0.260745
142.4	0.261261
142.6	0.261778
142.8	0.262296
143	0.262814
143.2	0.263332
143.4	0.263852
143.6	0.264372
143.8	0.264892
144	0.265414
144.2	0.265936
144.4	0.266458
144.6	0.266982
144.8	0.267506
145	0.26803
145.2	0.268555
145.4	0.269081
145.6	0.269608
145.8	0.270135
146	0.270663
146.2	0.271191
146.4	0.271721
146.6	0.27225
146.8	0.272781
147	0.273312
147.2	0.273844
147.4	0.274376
147.6	0.274909
147.8	0.275443
148	0.275977
148.2	0.276512
148.4	0.277047
148.6	0.277584
148.8	0.278121
149	0.278658
149.2	0.279196
149.4	0.279735
149.6	0.280274
149.8	0.280814
150	0.281355
150.2	0.281896
150.4	0.282438
150.6	0.282981
150.8	0.283524
151	0.284068
151.2	0.284612
151.4	0.285157
151.6	0.285703
151.8	0.286249
152	0.286796
152.2	0.287344
152.4	0.287892
152.6	0.288441
152.8	0.288991
153	0.289541
153.2	0.290091
153.4	0.290643
153.6	0.291195
153.8	0.291747
154	0.2923
154.2	0.292854
154.4	0.293408
154.6	0.293963
154.8	0.294519
155	0.295075
155.2	0.295632
155.4	0.29619
155.6	0.296748
155.8	0.297306
156	0.297866
156.2	0.298425
156.4	0.298986
156.6	0.299547
156.8	0.300109
157	0.300671
157.2	0.301234
157.4	0.301797
157.6	0.302361
157.8	0.302926
158	0.303491
158.2	0.304057
158.4	0.304624
158.6	0.305191
158.8	0.305759
159	0.306327
159.2	0.306896
159.4	0.307465
159.6	0.308035
159.8	0.308606
160	0.309177
160.2	0.309749
160.4	0.310321
160.6	0.310894
160.8	0.311467
161	0.312041
161.2	0.312616
161.4	0.313191
161.6	0.313767
161.8	0.314343
162	0.31492
162.2	0.315498
162.4	0.316076
162.6	0.316655
162.8	0.317234
163	0.317814
163.2	0.318394
163.4	0.318975
163.6	0.319557
163.8	0.320139
164	0.320721
164.2	0.321304
164.4	0.321888
164.6	0.322472
164.8	0.323057
165	0.323643
165.2	0.324229
165.4	0.324815
165.6	0.325402
165.8	0.32599
166	0.326578
166.2	0.327167
166.4	0.327756
166.6	0.328346
166.8	0.328936
167	0.329527
167.2	0.330118
167.4	0.33071
167.6	0.331303
167.8	0.331896
168	0.332489
168.2	0.333083
168.4	0.333678
168.6	0.334273
168.8	0.334869
169	0.335465
169.2	0.336062
169.4	0.336659
169.6	0.337257
169.8	0.337855
170	0.338454
170.2	0.339053
170.4	0.339653
170.6	0.340254
170.8	0.340854
171	0.341456
171.2	0.342058
171.4	0.34266
171.6	0.343263
171.8	0.343866
172	0.34447
172.2	0.345075
172.4	0.34568
172.6	0.346285
172.8	0.346891
173	0.347497
173.2	0.348104
173.4	0.348712
173.6	0.34932
173.8	0.349928
174	0.350537
174.2	0.351146
174.4	0.351756
174.6	0.352367
174.8	0.352977
175	0.353589
175.2	0.3542
175.4	0.354813
175.6	0.355425
175.8	0.356039
176	0.356652
176.2	0.357266
176.4	0.357881
176.6	0.358496
176.8	0.359112
177	0.359728
177.2	0.360344
177.4	0.360961
177.6	0.361579
177.8	0.362196
178	0.362815
178.2	0.363434
178.4	0.364053
178.6	0.364672
178.8	0.365293
179	0.365913
179.2	0.366534
179.4	0.367156
179.6	0.367777
179.8	0.3684
180	0.369023
180.2	0.369646
180.4	0.370269
180.6	0.370894
180.8	0.371518
181	0.372143
181.2	0.372768
181.4	0.373394
181.6	0.37402
181.8	0.374647
182	0.375274
182.2	0.375902
182.4	0.376529
182.6	0.377158
182.8	0.377787
183	0.378416
183.2	0.379045
183.4	0.379675
183.6	0.380306
183.8	0.380936
184	0.381567
184.2	0.382199
184.4	0.382831
184.6	0.383463
184.8	0.384096
185	0.384729
185.2	0.385363
185.4	0.385997
185.6	0.386631
185.8	0.387266
186	0.387901
186.2	0.388536
186.4	0.389172
186.6	0.389808
186.8	0.390445
187	0.391082
187.2	0.391719
187.4	0.392357
187.6	0.392995
187.8	0.393633
188	0.394272
188.2	0.394911
188.4	0.395551
188.6	0.396191
188.8	0.396831
189	0.397472
189.2	0.398113
189.4	0.398754
189.6	0.399396
189.8	0.400038
190	0.40068
190.2	0.401323
190.4	0.401966
190.6	0.402609
190.8	0.403253
