# Longevidade	Quantidade
0.791763	0.567333
0.791908	0.568
0.79256	0.568667
0.79466	0.569333
0.795095	0.57
0.79524	0.570667
0.797196	0.571333
0.797268	0.572
0.797848	0.572667
0.799876	0.573333
0.802411	0.574
0.807265	0.574667
0.807627	0.575333
0.8098	0.576
0.812336	0.576667
0.813132	0.577333
0.813277	0.578
0.815016	0.578667
0.81545	0.579333
0.817334	0.58
0.822115	0.580667
0.822405	0.581333
0.822622	0.582
0.823346	0.582667
0.827838	0.583333
0.828345	0.584
0.829576	0.584667
0.830735	0.585333
0.832474	0.586
0.834067	0.586667
0.835082	0.587333
0.836313	0.588
0.836748	0.588667
0.839138	0.589333
0.839355	0.59
0.84008	0.590667
0.842253	0.591333
0.842543	0.592
0.845513	0.592667
0.854133	0.593333
0.855509	0.594
0.85732	0.594667
0.864419	0.595333
0.864564	0.596
0.865434	0.596667
0.868404	0.597333
0.872895	0.598
0.872967	0.599
0.874489	0.6
0.876155	0.600667
0.876589	0.601333
0.881225	0.602
0.88137	0.602667
0.881805	0.603333
0.883688	0.604
0.886658	0.604667
0.888035	0.605333
0.889556	0.606
0.890135	0.606667
0.891077	0.607333
0.892598	0.608
0.895206	0.608667
0.8968	0.609333
0.899263	0.61
0.903102	0.610667
0.906362	0.611333
0.911288	0.612
0.911722	0.612667
0.912519	0.613333
0.915489	0.614
0.918097	0.614667
0.921284	0.615333
0.921936	0.616
0.922443	0.616667
0.923385	0.617333
0.923892	0.618
0.927659	0.618667
0.931571	0.619333
0.931788	0.62
0.933309	0.620667
0.935772	0.621333
0.936279	0.622
0.937728	0.622667
0.938308	0.623333
0.938525	0.624
0.940481	0.624667
0.94461	0.625333
0.946131	0.626
0.947942	0.626667
0.951057	0.627333
0.956418	0.628
0.957649	0.628667
0.957939	0.629333
0.963951	0.63
0.965183	0.630667
0.969457	0.631333
0.971413	0.632
0.977063	0.632667
0.977787	0.633333
0.98025	0.634
0.982061	0.634667
0.983293	0.635333
0.984017	0.636
0.985104	0.636667
0.9859	0.637333
0.986118	0.638
0.986697	0.638667
0.989305	0.639333
0.98974	0.64
0.990971	0.640667
0.993579	0.641333
0.995028	0.642
0.995173	0.642667
0.996766	0.643333
0.999374	0.644
1.01046	0.644667
1.01176	0.645333
1.01321	0.646
1.01893	0.646667
1.02045	0.647333
1.0219	0.648
1.02915	0.648667
1.03407	0.649333
1.03733	0.65
1.03893	0.650667
1.0432	0.651333
1.04487	0.652
1.04762	0.652667
1.04986	0.653333
1.05117	0.654
1.0532	0.654667
1.05392	0.655333
1.05812	0.656
1.06022	0.656667
1.06196	0.657333
1.06413	0.658
1.06768	0.658667
1.06805	0.659333
1.07109	0.66
1.07268	0.660667
1.07602	0.661333
1.07616	0.662
1.07623	0.662667
1.08	0.663333
1.08072	0.664
1.08087	0.664667
1.08203	0.665333
1.08471	0.666
1.08775	0.666667
1.08869	0.667333
1.09123	0.668
1.09355	0.668667
1.09565	0.669333
1.09615	0.67
1.09688	0.670667
1.09854	0.671333
1.10035	0.672
1.10043	0.672667
1.10731	0.673333
1.10753	0.674
1.10876	0.674667
1.11209	0.675333
1.11252	0.676
1.11542	0.676667
1.11767	0.677333
1.11803	0.678
1.11912	0.678667
1.11941	0.679333
1.12042	0.68
1.12129	0.681
1.12556	0.682
1.12774	0.682667
1.12904	0.683667
1.12948	0.684667
1.13288	0.685333
1.13484	0.686333
1.14085	0.687333
1.14418	0.688
1.1457	0.688667
1.14606	0.689333
1.14773	0.69
1.15222	0.690667
1.15505	0.691333
1.15541	0.692
1.15635	0.692667
1.1599	0.693333
1.16236	0.694
1.16367	0.694667
1.16403	0.695333
1.17446	0.696
1.17605	0.696667
1.18098	0.697333
1.18207	0.698
1.19344	0.698667
1.19453	0.699333
1.1954	0.7
1.1959	0.700667
1.19655	0.701333
1.20307	0.702
1.20431	0.702667
1.20546	0.703333
1.20742	0.704
1.21416	0.704667
1.21495	0.705333
1.21763	0.706
1.21916	0.706667
1.22423	0.707333
1.2335	0.708
1.23647	0.708667
1.24103	0.709333
1.24371	0.71
1.24516	0.710667
1.24972	0.711333
1.25038	0.712
1.25074	0.712667
1.25096	0.713333
1.25661	0.714
1.25885	0.714667
1.26117	0.715333
1.26581	0.716
1.26726	0.716667
1.26957	0.717333
1.27138	0.718
1.27182	0.718667
1.27588	0.719333
1.27638	0.72
1.27645	0.720667
1.28138	0.721333
1.28355	0.722
1.28493	0.722667
1.28797	0.723333
1.28877	0.724
1.29688	0.724667
1.29696	0.725333
1.29761	0.726
1.29833	0.726667
1.30405	0.727333
1.30731	0.728
1.30739	0.728667
1.30753	0.729333
1.31253	0.73
1.32484	0.730667
1.32571	0.731333
1.32586	0.732
1.32709	0.732667
1.32825	0.733333
1.33339	0.734
1.3389	0.734667
1.34484	0.735333
1.34563	0.736
1.34665	0.736667
1.34723	0.737333
1.35186	0.738
1.36048	0.738667
1.36092	0.739333
1.36215	0.74
1.36447	0.740667
1.36505	0.741333
1.36527	0.742
1.37186	0.742667
1.37519	0.743333
1.38091	0.744
1.38294	0.744667
1.38323	0.745333
1.39091	0.746
1.39482	0.746667
1.39801	0.747333
1.4038	0.748
1.40554	0.748667
1.41097	0.749333
1.41148	0.75
1.41221	0.750667
1.41358	0.751333
1.41452	0.752
1.41576	0.752667
1.41597	0.753333
1.41771	0.754
1.42401	0.754667
1.42735	0.755333
1.42908	0.756
1.4309	0.756667
1.43481	0.757333
1.43923	0.758
1.44096	0.758667
1.44191	0.759333
1.44292	0.76
1.44777	0.760667
1.45219	0.761333
1.45538	0.762
1.45574	0.762667
1.45886	0.763333
1.45951	0.764
1.46509	0.764667
1.4669	0.765333
1.46733	0.766
1.46842	0.766667
1.47849	0.767333
1.47863	0.768
1.48182	0.768667
1.48197	0.769333
1.48378	0.77
1.48957	0.770667
1.49667	0.771333
